Post,Reacts_Count,Most_Reacts,Image,Group
Jit nechki lsahbi 9otlou hassit fahmi walla rzin 9alli chkoun fahmi,612,Haha ,None,https://www.facebook.com/groups/ibilieve
"النهايات أخلاق 
هيا كل يوم في ستوري:",4 K,Haha ,None,https://www.facebook.com/groups/ibilieve
نهار فل billionaire ، و جمعتين فالستوريات..,937,Haha ,None,https://www.facebook.com/groups/ibilieve
Bch narja3 na9ra b nafes l iPhone zah..,438,Haha ,None,https://www.facebook.com/groups/ibilieve
"تاعب و نحب نرقد باش نفيق بكري 
حنة في الحومة بحذا شباك بيتي :","2,3 K",Haha ,None,https://www.facebook.com/groups/ibilieve
"كي نحكي مع حد و نحس روحي ندمت
نفسخ الـconversation كأنو ماصار شي..",847,Haha ,None,https://www.facebook.com/groups/ibilieve
كي تكمل القراية و تعدي صيف كامل فالدار,"1,4 K",Haha ,None,https://www.facebook.com/groups/ibilieve
ya 5ouya mala samedi soir w mala  5arjet w mala sahriyet w mala  tab7iret maadch feya bel jaw,247,Haha ,None,https://www.facebook.com/groups/ibilieve
Twhcht dik j'aime zar9a ki tghir,253,Haha ,None,https://www.facebook.com/groups/ibilieve
"-طاطا تعرفي تحسبي؟
-اي
-مالا احسبيني مرت ولدك",966,Haha ,None,https://www.facebook.com/groups/ibilieve
انا في دار صاحبي في ليل بعد ما نجح في كنترول :,"4,5 K",J’adore ,None,https://www.facebook.com/groups/ibilieve
نبرّد القايلة و نخرج ، مع نصّ الليل و نصّ هكاكة.,292,Haha ,None,https://www.facebook.com/groups/ibilieve
Sad9ouni fey9a bkolchy just le3ebetha neya ..,316,Haha ,None,https://www.facebook.com/groups/ibilieve
انا في طولات متع الصالة اللي فيها العرس بعد ما حشمت نشطح قدام العباد:,"2,2 K",Haha ,None,https://www.facebook.com/groups/ibilieve
للبيع ب 50 دينار .. تخدم أما على اعصابها شوية,"5,1 K",Haha ,None,https://www.facebook.com/groups/ibilieve
"نهار كامل تشكي و تبكي منو و تحلف معادش باش ترجعلو و الا تحكي معاه 
هيا اول ما يقولها توحشتك:","2,4 K",Haha ,None,https://www.facebook.com/groups/ibilieve
لأي واحد خايف و استراسي من résultat :,4 K,Haha ,None,https://www.facebook.com/groups/ibilieve
نادي محبي الدبابز لي يتكسرو ف الدروج ⁦⁦⁦⁦<⁩<⁩<⁩<⁩,"1,7 K",Haha ,https://www.facebook.com/photo/?fbid=306962148499960&set=gm.1273403766698759&idorvanity=801673440538463&__cft__[0]=AZUqPAH5fKfQwbqWpvWy5HqSylLVZMoJ6QPEO8STizt2zhQMeuOboMdkC1UEJalrmbLLXepcktqqL5yNFpdpnfqMAcxS1ySg18qsbNFNO2BJFNA_68Gu5WKWl6EHX7cSc8ryf4BMAPXPQK_m0g8z98uCJIS_pCn33KHxzm6tmXe_oyWJjJN5aCQK4QOq3Vj-3dY&__tn__=EH-R,https://www.facebook.com/groups/ibilieve
"- شبيك
- مابيا شي
- شبيها بنتي
- Message vocal (03:56:30)",2 K,Haha ,None,https://www.facebook.com/groups/ibilieve
L3am jet tza8ret ya omi inty w om sou7abi lkl,"1,2 K",J’adore ,None,https://www.facebook.com/groups/ibilieve
"إلي تقلو الطقس سخون يقلك مالا نهار آخر كيفاش ..
شعب عارف روحو وين قاصد ربي","1,7 K",Haha ,None,https://www.facebook.com/groups/ibilieve
"قال ﷺ  ""وَلَوْ اجْتَمَعُوا عَلَى أَنْ يَضُرُّوكَ بِشَيْءٍ لَمْ يَضُرُّوكَ إِلَّا بِشَيْءٍ قَدْ كَتَبَهُ اللَّهُ عَلَيْكَ ""  ","1,2 K",J’adore ,None,https://www.facebook.com/groups/ibilieve
Bref on n'a pas le même niveau,"1,1 K",J’adore ,None,https://www.facebook.com/groups/ibilieve
* مانيش باش نبطى نمشي نهني و نروح .. *,"4,4 K",Haha ,None,https://www.facebook.com/groups/ibilieve
شاريها ب50 دينار باش تضحك عليا !,"5,8 K",Haha ,None,https://www.facebook.com/groups/ibilieve
قررت نرجع نزرع زهرة شبابي خاطر لولة طلعت قرعة,210,Haha ,None,https://www.facebook.com/groups/ibilieve
"ملخر Ons Jabeur  قاعدة تعمل في historic achievement في Wimbledon ...
الوصول لنهائي ويمبلدون راهو بش العباد تفهم عبارة عملنا في الفوت نهائي كأس عالم ..
راهو بش توصل للعالمية في بلاد فيها زوز تيرانات تينيس راهو حاجة خرافية أنا منجمتش نستوعب اللي تعمل فيه الطفلة هذه وحدها ما عاونها حد لا دولة وقفت معاها لا حد دز معاها وحدها وصلت للي ما وصلتلو حتى لاعبة عربية وإفريقية .. لذلك تزيد تتأكد المقولة التاريخية لشباب البلاد هذي ""تحب توصل عمل على ذرعك"" و متستنا حد.
ونشالله مربوحة ليوم ومعاها ربي ",807,J’adore ,None,https://www.facebook.com/groups/ibilieve
وانا نشوف في ستوريات لعباد من بحر لبحر ومن سهرية لسهرية وانا باب بيتي مافتّوش,"1,9 K",Haha ,None,https://www.facebook.com/groups/ibilieve
"Lwehed hezez rouho bessif fi ha skhana, raby ykoun fi 3oun ely yhezo f t7in",1 K,Haha ,None,https://www.facebook.com/groups/ibilieve
اما جاري ملا وردة زرعها,234,Haha ,None,https://www.facebook.com/groups/ibilieve
ما مصبرني في دنيا كان فيديو شقف لي تكركب في دروج,2 K,Haha ,None,https://www.facebook.com/groups/ibilieve
Hedha howa summertime sadness eli 7ket 3lih Lana del Rey,"1,2 K",Haha ,None,https://www.facebook.com/groups/ibilieve
"""إنَّ اللهَ لا يَخْذِلُ قَلْباً لَجَأَ إليه 
""",242,J’adore ,None,https://www.facebook.com/groups/ibilieve
فمّا عباد فيبالها كي ما تهبّط شيْ في الfacebook بش ياخذو master في النّضج..,2 K,Haha ,None,https://www.facebook.com/groups/ibilieve
L3am jey fma barcha a3ras  lkolha 9alek bch yza4rtw fi 3rshm mch fi l bac blhy istd3ouna,127,Haha ,None,https://www.facebook.com/groups/ibilieve
انا تعديت مرحلة نلبس حوايجي مكمشة و نخرج، تو وليت نلبسها مبلولة و نقول تو تشيح عليا,"1,4 K",Haha ,None,https://www.facebook.com/groups/ibilieve
نقبلك ال invitation بش نريكتيلك و تريكتيلي تحب تتعرف أقصد ربي ل Tinder,157,Haha ,None,https://www.facebook.com/groups/ibilieve
"العايلة ف الصيف قالو باش نتفرهدو تفرهيدة ما صارتش و الحمد لله ما صارتش
عند كلمتهم",487,Haha ,None,https://www.facebook.com/groups/ibilieve
Je t'aime mais tu me rends si triste,245,Triste ,https://www.facebook.com/photo/?fbid=277908344818709&set=gm.1273697710002698&idorvanity=801673440538463&__cft__[0]=AZW_63hTwWwESJUcJl4IaBjihsDWuWQqreHHMGGeFgvPDv9gcbjfcQ4PSAODdLEP4g_05Yb7zqQBj39WQ2nR1KoFy_BcsZT-aNWgWy8-K88EPWxyDs6AhHmPEyansEv_PMJb7EMhQRfJMEt53ou19TdGN6PJT5aZo_XjoFBuDiWI6BgDu9Oh2hZQ1BBXfnJXlwk&__tn__=EH-R,https://www.facebook.com/groups/ibilieve
Hwa rah kaybghii sahbto lola ama nti ghir kaynsi bik jraho lqdimaa,362,Haha ,None,https://www.facebook.com/groups/ibilieve
Tellement ktebt mabrouk wehd refusé ktebtlou mabrouk,505,Haha ,None,https://www.facebook.com/groups/ibilieve
