Post,Reacts_Count,Most_Reacts,Image,Group
وقت تحبك وتموت عليك وتلقى بنت ناس رد بالك توصل نهار باش تهينها و تعذبها والله نهارت تخمم باش تخسرها وانت تو ما تعرفش قدرها صدقني يجى نهار وتبكي عليها دم وما تلق… En voir plus,147,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"فى الدنيا هاذى ما تستنى من حتى حد باش يحس بيك ويعاونك الشكوى لغير الله مذلة …الاعتماد الكل على ربى سبحانو هو المفرج الكربات كون متأكد ما يحس بسك كان اللى خلقك …وتهنى ما تبكى فى حزنك كان لميمة والله غيرها ما تلقى حد …وما فما حتى يعرف كمية الصراعات الموجودة فيك واللى تحكيلو سرك يجى يوم ويعازرك بيه وتوليلو وسيلة باش يحاربك بيه ونقطة ضعف ليك…المخلوق بخلاف انو يقلك ربى معاك ما يزيدك حتى شىء آخر ولذا اهرب الربى ديراكت وانت مرتاح ويقبلك فى كل زمان ومكان …وفات لهنا 
د.محمد سالم عبد الكافي",470,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"علاش كيف نشوفو واحد راقد نقولو ""خليه راقد مسكين ""
وين الحزن في الموضوع !؟",244,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
امي كل الجمال,"1,1 K",Haha ,https://www.facebook.com/photo/?fbid=812134713810643&set=a.574614667562650&__cft__[0]=AZXyZZ5cOfaceYIYgeRIETYnHvJgml3t1OzRMaHt08l5oXazPIomUqOacjLx_vTj58zrbTHOtF_yXlazBj5bYP9_UN6HiVb-iKQFUmRM3Ib95YZmpUdLQgmnawxnszdLskjwu3pMRd-BYpxpRVBNsQrd4HoR26_4EukKXPKKRJ61cya3HK_V52d6D9DvPsJeFw4&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
تمشيش كثرة العروسات و الخطوبات يأثرو عليك!  ,769,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"نور شيبة من السجن الي ركح مسرح قرطاج الأثري ..
الحياة تعطى فرصة ثانية وهذا موش مشكل ولا عيب الدنيا دروس ويعطيكم الصحة الناس الكل الي قصيتو ودخلتو تفرجتو فيه وشجعتوه…أما بلاهي كيف ماعطيتو فرصة ثانية لنور شيبة …ميسالش كيف تعطيوها لصحابكم ولولاد حومتكم و لصغاركم موش من أول غلطة يولى منعوت بالصبع وكلوشار وخامج لا تعطيوه بناتكم لا تخدموه لا تاقفو تحكيو معاه وتزيدو تخليوه ينقم عالدنيا ... إن الله سبحانه يحب العبد الأواب التواب الذين إذا وقع في ذنب تاب وأقلع عنه واستغفر الله من ذلك الذنب…
وفات لهنا ",657,J’adore ,https://www.facebook.com/photo/?fbid=811961767161271&set=a.574614667562650&__cft__[0]=AZWOYX37-5IXhQUv6TSd6HZ0X9VyhJgD3r2ohGb_enwnumGdWUPl3ilEp7WG7vsNuilApc3udllM39Zz6DvmYHqGKhGpVzBGTB1SJhl6IPf3xk8Fxib6XAvvZ3vOUeg7EWy7FyHMvXFZDVizJflv8uGP9qpnPvHlP3RtcVveevdSiuNubuUtzwoWbqr3AETpZ_E&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
لا تنم الليلة,466,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"وآنا غالط صدقتها 
Follow us on instagram :
https://www.instagram.com/tunisian_artists_27/",702,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"وقت تمرض ويعلم بيها كان ربى كونلها البو والخو وكل شىء فى الدنيا هاذى …الحب راهو موش خرجات وسهريات وشيخات الحب أفعال موش أقوال…حنن عليها عاونها وكون معاها موش تكمل عليها وتهينها على خاطر كان توصل تحطها اختك قبل ماتكون حبيبتك باش تودها بالخير والمعاملة الحسنة…صدقتي يا حبيبي يا رسول الله يا معلم البشرية:لا يكرم المرأة إلا الكريم , ولا يهين المرأة إلا اللئيم …وفات لهنا 
د.محمد سالم عبد الكافي",650,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
ربي يجمعني بيك…,108,J’adore ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
انا مروح من دارهم بعد ما بوها رفضني اما بش ناكل ال gâteau وحدي,"1,2 K",Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
حتى السترة مزيانة …,"3,5 K",J’adore ,https://www.facebook.com/photo/?fbid=811609473863167&set=a.574614667562650&__cft__[0]=AZXxhKigKQzhglfWCz8M843733K2T0U9CgOsxoOV50xtkkXyBoU0zrpX4ffpFKP8peenMJKZe3-_rpc_un_O_J71VSixMpjnWomQbysTkUEniJRXhQONOA2OPeYnkrK2mExs3g3vfb5b-tJ-ccJKfzflbPZ9q8UMl5sCJkokmBg1CKX3BGcPNCyxJ5m6-QSEnlQ&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
أنا نحب تهزوني نعوم في كوكو بيتش ,"1,4 K",Haha ,https://www.facebook.com/photo/?fbid=811532430537538&set=a.574614667562650&__cft__[0]=AZWh_l3Fi0pD9hCML3QUZU-hNUS6XHbfdWhTXrb970FGyTdgNwVXUoaWX61_eY1eru4_cL047r7ONcjhLQp2KNKcLVkMWSXlGcG1ZpNFR7uTTRZZqVt8PnOERP50JCfhlNIFh_MNhnB71rFaJxGUZ5FmlHsD6eO4X2WKXDyS_ny_O4KmdHrmnAo1Mjjm9rQbNt4&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
"دموعك غالية انس هز راسك راك نورت لبلاد 
 فخورين بيك خيرها في غيرها ","2,2 K",J’adore ,https://www.facebook.com/photo/?fbid=811512933872821&set=a.574614667562650&__cft__[0]=AZXUwAclOzauy9aZCTQLu5kgO4YRdQQ54CPdbnSx7Oo3gjEC-9tlp3PPUwYl0hwltGKjvawYiTVLqtNH1gN0o8rotG54fS30lw1VWbOxnBKJQty7_OAYkLgIbRr7JM-kzuUHRFKh-op_LnhcStoHhEtyCe5sQTfPecymjNIOKqNxqlSaxzj30Y6yGqeloLYNgco&__tn__=EH-R,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
الله يعطينا ثقة في النفس كيما لي يهبطو يشطحو هوما لولين فالعرس,759,Haha ,None,https://www.facebook.com/Tunisian27artists?mibextid=LQQJ4d
